id;key;habilitado;vstring;vbol;vdate;vint;vtext;vimg;vimg_content_type
1;than;false;now pink;false;2024-08-08T09:54:03;25186;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;soon ah sombrero;false;pace;true;2024-08-08T08:06:01;19090;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;thoughtfully gah;false;than;false;2024-08-08T22:03:50;18974;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;madly bludgeon;false;joyously gosh playfully;false;2024-08-08T20:09:42;8428;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;fooey;false;pace pfft;false;2024-08-08T11:23:43;23929;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;yawning speedily wisely;false;antiquity;false;2024-08-08T03:31:58;9062;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;left yum;false;spree duh strudel;false;2024-08-08T10:10:37;7968;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;but that civilization;false;accidentally;true;2024-08-08T07:03:42;29635;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;for trampoline hydrant;false;bah half;false;2024-08-08T22:26:34;24780;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;ouch eager;false;mockingly;true;2024-08-08T15:40:30;21953;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
