id;nome;sigla;apelido;silhueta;silhueta_content_type;icone;pos;imagem;descricao
1;whenever;huzzah;likewise;../fake-data/blob/hipster.png;image/png;broadly;since;pendulum worth;blather beyond impure
2;despite;while;miskey axis warmly;../fake-data/blob/hipster.png;image/png;ha;so gain decoder;thesis osprey;anticodon however administer
3;enter than psst;once supplant directory;aged charm;../fake-data/blob/hipster.png;image/png;usurp unto;as charity freely;gratefully;dimpled yowza
4;dispatch cephalopod;afore sunbeam;athletic;../fake-data/blob/hipster.png;image/png;swift;sister-in-law than;refuse;liquid
5;round executor pfft;atop mmm;outside;../fake-data/blob/hipster.png;image/png;how;motionless helpfully;pfft;astonishing unless per
6;balls kindly;soon gosh yahoo;instantly rubbery wherever;../fake-data/blob/hipster.png;image/png;even against sod;damp;within unknown;unfolded yuck round
7;term failing rack;hmph;black-and-white eek;../fake-data/blob/hipster.png;image/png;until;whose;assured budge but;sake yet
8;the;rampage obnoxiously peal;supposing;../fake-data/blob/hipster.png;image/png;quixotic rudely;curry;resist scud scold;ack likely
9;xylophone turbocharge yesterday;enthusiastically coevolution or;for single separately;../fake-data/blob/hipster.png;image/png;rhapsodise baseboard hastily;regarding um;excluding sadly;gen aboard quietly
10;pelt but adored;now;during;../fake-data/blob/hipster.png;image/png;courageous nightlight phooey;adorable;ha meanwhile sans;ha
