id;nome;tamanho;massa;descricao
1;stranger pfft hypochondria;27705;hype submitter proscribe;queasily
2;outback in finally;21739;table;choke
3;apud ick;2540;sympathetic hmph however;inquisitively
4;uncommon ew;27366;boo;pish
5;worth super;15299;impression outsource gosh;consequently what
6;intimidate tragic;643;openly;today
7;powerfully;12391;fraction mark;soil martyr
8;absent what;10198;geography;emit embassy
9;fasten;26650;within yowza psst;because whose constant
10;crust but;26542;once linguist;minus ill-informed sans
