id;citacao;link;ano;autores
1;concerning blah yum;whose times;20671;weird terribly
2;regularly cleave;gah parrot oh;13290;noisily
3;kiddingly;alongside;4055;qua
4;model;awesome surcharge duh;17335;where quiver
5;attractive for;in huzzah;14199;whenever weepy
6;underplay yippee appropriate;blag helplessly;14171;mascara stomach towards
7;via;adventurously overreact sniveling;2395;inconsequential punctually remit
8;benefit out;study;25101;amidst pro if
9;owner;across;16254;unaccountably drat without
10;reinvest loftily;once whenever;30146;eke
