id;nome;detalhes;release;label;status;numero;logo;log;texto;imagem;imagem_content_type
1;flatter;tattoo;2024-08-08T07:27:47;perfect raid er;DISPONIVEL;26705;suckle;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;of;phew dismal er;2024-08-08T15:23:34;plaintive mint comfortable;OCULTO;22744;beside;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;verbally caution;whenever;2024-08-08T21:01:59;starchy taint uh-huh;CRIADO;21286;leptocephalus ape saddle;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;since target;bossy till translate;2024-08-08T18:00:50;monstrous giggle;CARREGADO;18532;joyfully than bare;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;whenever;hm fervently;2024-08-08T13:12:17;abundance;CARREGADO;1123;ah until;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;after;fast;2024-08-08T07:30:35;via boo pish;INVALIDO;30978;recruit vaguely ensue;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;secretariat forehead;ack index;2024-08-08T06:19:41;however majestically;CRIADO;6418;motherly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;till although;tragic predicate group;2024-08-08T15:55:01;tremendous;INVALIDO;6306;near;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;optimistic violently report;abaft among;2024-08-08T17:47:06;even;DISPONIVEL;15217;afoul past;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;jaggedly abaft;aw aside brr;2024-08-08T03:37:41;chain jaggedly above;PROCESSADO;16986;eventually;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
